[PPE] ¿El Teorema de Wiener-Khinchin establece que la densidad espectral de potencia (PSD) de un proceso WSS es la transformada de Fourier de su autocorrelación?	<b>Verdadero (V)</b><br><br><i>Verdadero. Sxx(f) = F{Rxx(tau)}.</i>
[PPE] ¿Si dos variables aleatorias son independientes, su covarianza y su correlación son estrictamente cero?	<b>Verdadero (V)</b><br><br><i>Verdadero. La independencia implica incorrelación.</i>
[PPE] La función de autocorrelación R_xx(tau) de un proceso WSS alcanza su máximo valor en el infinito.	<b>Falso (F)</b><br><br><i>Falso. Su valor máximo absoluto se encuentra siempre en el origen: |R_xx(tau)| <= R_xx(0).</i>
[PPE] ¿El Teorema Central del Límite establece que la suma de un gran número de variables independientes e idénticamente distribuidas tiende asintóticamente a una distribución Gaussiana?	<b>Verdadero (V)</b><br><br><i>Verdadero. Pilar fundamental de la teoría de la probabilidad y del análisis de ruido.</i>
[PPE] La varianza de una variable aleatoria puede tomar valores negativos si la media es negativa.	<b>Falso (F)</b><br><br><i>Falso. Por definición Var(X) = E[(X - mu)^2] >= 0; es siempre no negativa.</i>
[PPE] ¿Cuando un proceso WSS con densidad Sxx(f) pasa por un filtro LTI con respuesta H(f), la densidad espectral de salida es Syy(f) = |H(f)|^2 * Sxx(f)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Relación espectral fundamental para sistemas lineales.</i>
[PPE] ¿La densidad espectral de un ruido blanco ideal es constante e idéntica en todas las frecuencias (S_w(f) = N0 / 2)?	<b>Verdadero (V)</b><br><br><i>Verdadero. De ahí el nombre 'blanco', por analogía con la luz blanca que contiene todas las frecuencias con igual energía.</i>
[PPE] La función de distribución acumulada F_X(x) = P(X <= x) es siempre una función monótona no decreciente que varía entre 0 y 1.	<b>Verdadero (V)</b><br><br><i>Verdadero. Propiedad axiomática de toda variable aleatoria.</i>
[PPE] ¿Para dos eventos independientes A y B, la probabilidad de su intersección es P(A y B) = P(A) * P(B)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Definición formal de independencia probabilística.</i>
[PPE] Un proceso estocástico ergódico en la media tiene un promedio temporal diferente a su esperanza estadística de conjunto.	<b>Falso (F)</b><br><br><i>Falso. En un proceso ergódico, el promedio temporal sobre una realización coincide con el promedio estadístico de conjunto.</i>
[PPE] ¿La integral de menos infinito a más infinito de una función de densidad de probabilidad (PDF) es siempre exactamente 1?	<b>Verdadero (V)</b><br><br><i>Verdadero. Condición de normalización del espacio de probabilidad.</i>
[PPE] ¿El coeficiente de correlación de Pearson rho_XY está rigurosamente acotado en el intervalo [-1, +1]?	<b>Verdadero (V)</b><br><br><i>Verdadero. Desigualdad de Cauchy-Schwarz.</i>
