[DE] ¿En un semiconductor intrínseco, la concentración de electrones en la banda de conducción es igual a la de huecos en la de valencia (n = p = ni)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Cada salto térmico a conducción crea simultáneamente un hueco en valencia.</i>
[DE] ¿La relación de Einstein vincula el coeficiente de difusión y la movilidad de portadores con la tensión térmica VT = kT/q?	<b>Verdadero (V)</b><br><br><i>Verdadero. D / mu = VT.</i>
[DE] ¿Al polarizar una unión p-n en inversa, la anchura de la zona de carga espacial (ZCE) aumenta?	<b>Verdadero (V)</b><br><br><i>Verdadero. La tensión inversa externa se suma al potencial de contacto interno ampliando la barrera.</i>
[DE] En un transistor MOSFET de canal n en saturación, la corriente de drenador es inversamente proporcional a (Vgs - Vth).	<b>Falso (F)</b><br><br><i>Falso. Es cuadrática: Id propto (Vgs - Vth)^2.</i>
[DE] ¿El fenómeno de estricción o estrangulamiento de canal ('pinch-off') se alcanza cuando Vds >= Vgs - Vth?	<b>Verdadero (V)</b><br><br><i>Verdadero. El canal se estrangula cerca del drenador entrando en régimen de saturación.</i>
[DE] ¿El dopaje con átomos del grupo V (como fósforo o arsénico) convierte al silicio en un semiconductor tipo n?	<b>Verdadero (V)</b><br><br><i>Verdadero. Aportan electrones libres en niveles donores.</i>
[DE] La corriente inversa de saturación Is de un diodo de silicio es insensible a las variaciones de temperatura.	<b>Falso (F)</b><br><br><i>Falso. Is se duplica aproximadamente cada 5 a 10 grados Celsius debido a la generación térmica exponencial ni^2(T).</i>
[DE] ¿El efecto Early en un transistor BJT representa la modulación de la anchura efectiva de la base con la tensión Vce?	<b>Verdadero (V)</b><br><br><i>Verdadero. Modifica ligeramente la pendiente de Ic en la zona activa.</i>
[DE] ¿La capacidad de la zona de carga espacial en una unión polarizada en inversa depende del voltaje aplicado?	<b>Verdadero (V)</b><br><br><i>Verdadero. Cj = Cj0 / (1 - VA/Vbi)^m; actúa como condensador variable por tensión (varicap).</i>
[DE] En un MOSFET en corte (subumbral ideal), la corriente de drenador es infinita.	<b>Falso (F)</b><br><br><i>Falso. Es prácticamente nula (del orden de pA a nA).</i>
[DE] ¿El parámetro de modulación de longitud de canal lambda introduce una conductancia de salida finita ro en el MOSFET en saturación?	<b>Verdadero (V)</b><br><br><i>Verdadero. ro = 1 / (lambda * Id).</i>
[DE] ¿En un diodo Zener el mecanismo de ruptura a tensiones bajas (< 5V) está dominado por el efecto túnel cuántico?	<b>Verdadero (V)</b><br><br><i>Verdadero. A tensiones mayores predomina la ruptura por ionización por avalancha.</i>
